Paso 0:
x	Temperatura
0.591837	2.94178
0.612245	1.08101
0.632653	0.331393
0.653061	0.0857307
0.673469	0.0188907
0.693878	0.00357173
0.714286	0.000582765
0.734694	8.23972e-05
0.755102	1.01244e-05
0.77551	1.08282e-06
0.795918	1.00841e-07
0.816327	8.17054e-09
0.836735	5.74735e-10
0.857143	3.49735e-11
0.877551	1.83142e-12
0.897959	8.19306e-14
0.918367	3.10032e-15
0.938776	9.79086e-17
0.959184	2.53302e-18
0.979592	5.22849e-20
1	0
-------------------------
Paso 28:
x	Temperatura
0	0
0.0204082	4.88114e-21
0.0408163	2.46716e-19
0.0612245	9.9677e-18
0.0816327	3.30569e-16
0.102041	9.16908e-15
