x,T=1,T=10,T=50,T=100,T=150,T=200,T=250,T=300
16.3664,9.1547e-06,0.181309,0.445801,0.498998,0.518112,0.527944,0.533932,0.537963
16.4264,9.21497e-06,0.181169,0.445058,0.49811,0.51717,0.526973,0.532945,0.536963
16.4865,9.28294e-06,0.181228,0.444839,0.497812,0.516843,0.52663,0.532592,0.536604
16.5465,9.35878e-06,0.181537,0.445286,0.498267,0.517299,0.527088,0.53305,0.537063
16.6066,9.44243e-06,0.182129,0.446495,0.499586,0.518657,0.528465,0.534439,0.53846
16.6667,9.53368e-06,0.183019,0.448513,0.501821,0.52097,0.530818,0.536816,0.540853
16.7267,9.63208e-06,0.184201,0.451326,0.504958,0.524223,0.53413,0.540165,0.544226
16.7868,9.73698e-06,0.185648,0.454863,0.508915,0.528331,0.538316,0.544398,0.548491
16.8468,9.84756e-06,0.187315,0.458997,0.513551,0.533147,0.543225,0.549364,0.553495
16.9069,9.96284e-06,0.189139,0.463561,0.518673,0.53847,0.548652,0.554854,0.559027
16.967,1.00818e-05,0.191048,0.468353,0.524053,0.544063,0.554353,0.560622,0.56484
17.027,1.02032e-05,0.192965,0.473156,0.529445,0.549667,0.560068,0.566402,0.570666
17.0871,1.03261e-05,0.194811,0.477755,0.534606,0.555029,0.565534,0.571932,0.576238
17.1471,1.04494e-05,0.196516,0.481955,0.53931,0.559916,0.570514,0.576969,0.581313
